1	When	_	_	B-Rhetorical
2	you	_	_	I-Rhetorical
3	have	_	_	I-Rhetorical
4	to	_	_	I-Rhetorical
5	make	_	_	I-Rhetorical
6	the	_	_	I-Rhetorical
7	decision	_	_	I-Rhetorical
8	between	_	_	I-Rhetorical
9	feeling	_	_	I-Rhetorical
10	like	_	_	I-Rhetorical
11	a	_	_	I-Rhetorical
12	pile	_	_	I-Rhetorical
13	of	_	_	I-Rhetorical
14	shit	_	_	I-Rhetorical
15	and	_	_	I-Rhetorical
16	watching	_	_	I-Rhetorical
17	your	_	_	I-Rhetorical
18	life	_	_	I-Rhetorical
19	flow	_	_	I-Rhetorical
20	down	_	_	I-Rhetorical
21	the	_	_	I-Rhetorical
22	drain	_	_	I-Rhetorical
23	and	_	_	I-Rhetorical
24	taking	_	_	I-Rhetorical
25	a	_	_	I-Rhetorical
26	pill	_	_	I-Rhetorical
27	every	_	_	I-Rhetorical
28	day	_	_	I-Rhetorical
29	or	_	_	I-Rhetorical
30	every	_	_	I-Rhetorical
31	other	_	_	I-Rhetorical
32	day	_	_	I-Rhetorical
33	,	_	_	I-Rhetorical
34	the	_	_	I-Rhetorical
35	choice	_	_	I-Rhetorical
36	will	_	_	I-Rhetorical
37	become	_	_	I-Rhetorical
38	crystal	_	_	I-Rhetorical
39	clear	_	_	I-Rhetorical
40	.	_	_	O
