1	I	_	_	O
2	think	_	_	O
3	the	_	_	O
4	US	_	_	O
5	reaction	_	_	O
6	to	_	_	O
7	Snowden	_	_	O
8	's	_	_	O
9	leaks	_	_	O
10	is	_	_	O
11	far	_	_	O
12	more	_	_	O
13	unsettling	_	_	O
14	than	_	_	O
15	the	_	_	O
16	information	_	_	O
17	those	_	_	O
18	leaks	_	_	O
19	contained	_	_	O
20	.	_	_	O
21	CMV	_	_	O
22	Big	_	_	O
23	fucking	_	_	O
24	deal	_	_	O
25	:	_	_	O
26	the	_	_	B-Fact
27	NSA	_	_	I-Fact
28	tracks	_	_	I-Fact
29	my	_	_	I-Fact
30	phone	_	_	I-Fact
31	and	_	_	I-Fact
32	email	_	_	I-Fact
33	records	_	_	I-Fact
34	.	_	_	O
35	Technically	_	_	O
36	,	_	_	O
37	they	_	_	B-Value
38	are	_	_	I-Value
39	reserving	_	_	I-Value
40	the	_	_	I-Value
41	right	_	_	I-Value
42	and	_	_	I-Value
43	ability	_	_	I-Value
44	to	_	_	I-Value
45	spy	_	_	I-Value
46	on	_	_	I-Value
47	me	_	_	I-Value
48	without	_	_	I-Value
49	my	_	_	I-Value
50	knowing	_	_	I-Value
51	they	_	_	I-Value
52	have	_	_	I-Value
53	that	_	_	I-Value
54	capacity	_	_	I-Value
55	.	_	_	O
56	I	_	_	B-Value
57	do	_	_	I-Value
58	n't	_	_	I-Value
59	like	_	_	I-Value
60	this	_	_	I-Value
61	at	_	_	I-Value
62	all	_	_	I-Value
63	,	_	_	O
64	but	_	_	O
65	TBH	_	_	O
66	,	_	_	O
67	I	_	_	B-Value
68	'm	_	_	I-Value
69	not	_	_	I-Value
70	really	_	_	I-Value
71	that	_	_	I-Value
72	surprised	_	_	I-Value
73	.	_	_	O
74	I	_	_	O
75	think	_	_	O
76	it	_	_	B-Value
77	is	_	_	I-Value
78	absolutely	_	_	I-Value
79	terrifying	_	_	I-Value
80	,	_	_	O
81	however	_	_	O
82	,	_	_	O
83	that	_	_	O
84	:	_	_	O
85	1	_	_	O
86	.	_	_	O
87	they	_	_	B-Value
88	tried	_	_	I-Value
89	to	_	_	I-Value
90	keep	_	_	I-Value
91	something	_	_	I-Value
92	so	_	_	I-Value
93	obvious	_	_	I-Value
94	a	_	_	I-Value
